# gen L_t L_1 L_2 L_e_train L_f_train L_e_test L_f_test
200 3.14032 0.08313 0.11715 2.07031 1.06981 1.86524 1.18336
200 3.15479 0.08324 0.11726 2.07478 1.07981 1.86881 1.18491
200 3.15127 0.08244 0.11556 2.08063 1.07044 1.87647 1.16946
200 3.15415 0.08313 0.11671 2.07686 1.07708 1.87384 1.17955
200 3.14734 0.08203 0.11508 2.08554 1.06160 1.88293 1.15852
200 3.14966 0.08306 0.11655 2.07206 1.07740 1.86791 1.18625
200 3.14040 0.08313 0.11628 2.08273 1.05747 1.88125 1.16715
200 3.14461 0.08234 0.11630 2.07966 1.06476 1.87597 1.17194
200 3.14778 0.08354 0.11820 2.07841 1.06917 1.87256 1.17591
200 3.15100 0.08390 0.11824 2.07629 1.07451 1.86716 1.18234
200 3.14602 0.08350 0.11736 2.07733 1.06848 1.87398 1.18862
200 3.14873 0.08313 0.11702 2.07190 1.07663 1.86968 1.17558
200 3.15157 0.08276 0.11673 2.07643 1.07493 1.87072 1.18414
200 3.16093 0.08231 0.11577 2.08357 1.07716 1.87777 1.17540
200 3.14387 0.08442 0.11793 2.07565 1.06802 1.87140 1.19110
200 3.15102 0.08166 0.11589 2.07924 1.07158 1.87342 1.18193
200 3.16044 0.08222 0.11628 2.09124 1.06900 1.88561 1.17443
200 3.15346 0.08349 0.11655 2.07735 1.07591 1.87299 1.19077
200 3.15662 0.08277 0.11654 2.08093 1.07549 1.87387 1.18633
200 3.14673 0.08272 0.11597 2.07068 1.07585 1.86791 1.17303
200 3.15947 0.08376 0.11791 2.08623 1.07304 1.87666 1.17589
200 3.14121 0.08287 0.11713 2.07592 1.06509 1.87193 1.17713
200 3.14941 0.08478 0.11868 2.07616 1.07305 1.87486 1.17496
200 3.14426 0.08258 0.11694 2.07776 1.06630 1.87644 1.18182
200 3.14537 0.08426 0.11800 2.07688 1.06828 1.86968 1.17887
200 3.15095 0.08369 0.11790 2.08135 1.06940 1.87911 1.17225
200 3.14864 0.08332 0.11625 2.07908 1.06936 1.87523 1.18167
